Time;opctyngrppub01 : Actives;anomalie
25/05/2022 22:00;144;0
26/05/2022 00:00;1410;0
26/05/2022 02:00;6008;0
26/05/2022 04:00;5062;0
26/05/2022 06:00;132;0
26/05/2022 08:00;153;0
26/05/2022 10:00;215;0
26/05/2022 12:00;210;0
26/05/2022 14:00;195;0
26/05/2022 16:00;202;0
26/05/2022 18:00;211;0
26/05/2022 20:00;177;0
26/05/2022 22:00;144;0
27/05/2022 00:00;1410;0
27/05/2022 02:00;5976;0
27/05/2022 04:00;5021;0
27/05/2022 06:00;144;0
27/05/2022 08:00;247;0
27/05/2022 10:00;409;0
27/05/2022 12:00;345;0
27/05/2022 14:00;296;0
27/05/2022 16:00;300;0
27/05/2022 18:00;245;0
27/05/2022 20:00;182;0
27/05/2022 22:00;138;0
28/05/2022 00:00;1416;0
28/05/2022 02:00;5968;0
28/05/2022 04:00;4997;0
28/05/2022 06:00;130;0
28/05/2022 08:00;166;0
28/05/2022 10:00;237;0
28/05/2022 12:00;234;0
28/05/2022 14:00;200;0
28/05/2022 16:00;206;0
28/05/2022 18:00;225;0
28/05/2022 20:00;193;0
28/05/2022 22:00;142;0
29/05/2022 00:00;1415;0
29/05/2022 02:00;5970;0
29/05/2022 04:00;5003;0
29/05/2022 06:00;129;0
29/05/2022 08:00;138;0
29/05/2022 10:00;168;0
29/05/2022 12:00;167;0
29/05/2022 14:00;158;0
29/05/2022 16:00;165;0
29/05/2022 18:00;169;0
29/05/2022 20:00;150;0
29/05/2022 22:00;135;0
30/05/2022 00:00;1410;0
30/05/2022 02:00;5929;0
30/05/2022 04:00;5006;0
30/05/2022 06:00;177;0
30/05/2022 08:00;389;0
30/05/2022 10:00;634;0
30/05/2022 12:00;471;0
30/05/2022 14:00;446;0
30/05/2022 16:00;464;0
30/05/2022 18:00;308;0
30/05/2022 20:00;178;0
30/05/2022 22:00;146;0
31/05/2022 00:00;1412;0
31/05/2022 02:00;6009;0
31/05/2022 04:00;5121;0
31/05/2022 06:00;175;0
31/05/2022 08:00;391;0
31/05/2022 10:00;683;0
31/05/2022 12:00;531;0
31/05/2022 14:00;436;0
31/05/2022 16:00;566;0
31/05/2022 18:00;337;0
31/05/2022 20:00;203;0
31/05/2022 22:00;158;0
01/06/2022 00:00;2900;1
01/06/2022 02:00;7875;1
01/06/2022 04:00;5155;0
01/06/2022 06:00;172;0
01/06/2022 08:00;360;0
01/06/2022 10:00;628;0
01/06/2022 12:00;517;0
01/06/2022 14:00;444;0
01/06/2022 16:00;495;0
01/06/2022 18:00;330;0
01/06/2022 20:00;192;0
01/06/2022 22:00;146;0
02/06/2022 00:00;1487;0
02/06/2022 02:00;6228;0
02/06/2022 04:00;5108;0
02/06/2022 06:00;171;0
02/06/2022 08:00;380;0
02/06/2022 10:00;650;0
02/06/2022 12:00;553;0
02/06/2022 14:00;500;0
02/06/2022 16:00;506;0
02/06/2022 18:00;348;0
02/06/2022 20:00;219;0
02/06/2022 22:00;188;0
03/06/2022 00:00;1437;0
03/06/2022 02:00;6080;0
03/06/2022 04:00;5129;0
03/06/2022 06:00;168;0
03/06/2022 08:00;379;0
03/06/2022 10:00;642;0
03/06/2022 12:00;501;0
03/06/2022 14:00;429;0
03/06/2022 16:00;473;0
03/06/2022 18:00;321;0
03/06/2022 20:00;208;0
03/06/2022 22:00;159;0
04/06/2022 00:00;1434;0
04/06/2022 02:00;6050;0
04/06/2022 04:00;5129;0
04/06/2022 06:00;177;0
04/06/2022 08:00;198;0
